start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   296428    0.029    0.000    0.029    0.000 {method 'lstrip' of 'str' objects}
        7    0.000    0.000    0.028    0.004 __init__.py:108(import_module)
        7    0.000    0.000    0.028    0.004 <frozen importlib._bootstrap>:1038(_gcd_import)
       85    0.000    0.000    0.028    0.000 re.py:249(compile)
        2    0.000    0.000    0.027    0.014 core.py:193(read_style_directory)
        1    0.000    0.000    0.027    0.027 lines.py:1(<module>)
        1    0.000    0.000    0.027    0.027 pyplot.py:206(switch_backend)
   105178    0.026    0.000    0.027    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.026    0.026 pyparsing.py:1(<module>)
       28    0.000    0.000    0.025    0.001 __init__.py:841(rc_params_from_file)
     5392    0.004    0.000    0.025    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.024    0.024 pyplot.py:267(backend_mod)
    10792    0.022    0.000    0.024    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.024    0.024 backend_tkagg.py:1(<module>)
      336    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
      216    0.012    0.000    0.023    0.000 artist.py:1358(<listcomp>)
    37947    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
      435    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
     5392    0.005    0.000    0.022    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.022    0.022 _pickle.py:1(<module>)
    23924    0.013    0.000    0.021    0.000 enum.py:359(__call__)
     1264    0.002    0.000    0.021    0.000 __init__.py:627(__setitem__)
        1    0.000    0.000    0.021    0.021 textpath.py:1(<module>)
     8751    0.012    0.000    0.021    0.000 inspect.py:612(unwrap)
        1    0.000    0.000    0.020    0.020 _backend_tk.py:1(<module>)
    32/27    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    32/27    0.006    0.000    0.020    0.001 {built-in method _imp.exec_dynamic}
     2184    0.006    0.000    0.020    0.000 inspect.py:663(_finddoc)
     9093    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
    32388    0.019    0.000    0.019    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.019    0.019 pathlib.py:1(<module>)
      233    0.000    0.000    0.019    0.000 sre_compile.py:622(_code)
40299/40295    0.016    0.000    0.019    0.000 {method 'join' of 'str' objects}
   123078    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
     8613    0.012    0.000    0.018    0.000 inspect.py:66(get_annotations)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _parser.py:1(<module>)
     5428    0.005    0.000    0.017    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.017    0.017 Image.py:1(<module>)
        4    0.000    0.000    0.016    0.004 pool.py:671(_help_stuff_finish)
        1    0.000    0.000    0.016    0.016 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.016    0.016 table.py:1(<module>)
        4    0.016    0.004    0.016    0.004 {method 'acquire' of '_multiprocessing.SemLock' objects}
      183    0.001    0.000    0.016    0.000 popen_fork.py:24(poll)
        1    0.000    0.000    0.016    0.016 __init__.py:2275(class_factory)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      284    0.016    0.000    0.016    0.000 {built-in method io.open_code}
      179    0.015    0.000    0.015    0.000 {built-in method posix.waitpid}
        7    0.000    0.000    0.015    0.002 process.py:142(join)
        7    0.000    0.000    0.015    0.002 popen_fork.py:36(wait)
        1    0.000    0.000    0.015    0.015 cm.py:1(<module>)
    16749    0.015    0.000    0.015    0.000 {built-in method numpy.asanyarray}
    32058    0.015    0.000    0.015    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
 1248/233    0.006    0.000    0.014    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.014    0.014 platform.py:1(<module>)
       92    0.001    0.000    0.013    0.000 __init__.py:1342(_preprocess_data)
      451    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      417    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.012    0.012 secrets.py:1(<module>)
    28429    0.009    0.000    0.011    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.011    0.011 scale.py:1(<module>)
     4000    0.005    0.000    0.011    0.000 artist.py:1448(aliased_name)
        2    0.000    0.000    0.011    0.005 shape_base.py:1(<module>)
        1    0.000    0.000    0.011    0.011 pool.py:1(<module>)
       17    0.000    0.000    0.010    0.001 rcsetup.py:710(validate_cycler)
    10793    0.010    0.000    0.010    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.010    0.010 cm.py:39(_gen_cmap_registry)
        1    0.000    0.000    0.010    0.010 pyparsing.py:6398(pyparsing_common)
      101    0.003    0.000    0.010    0.000 artist.py:139(<listcomp>)
      338    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
