start
halfway
(10000, 5392)
         2949252 function calls (2915667 primitive calls) in 14.204 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   123070    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
     5392    0.003    0.000    0.021    0.000 {method 'all' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.020    0.010 core.py:193(read_style_directory)
40299/40295    0.018    0.000    0.020    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.020    0.020 _add_newdocs_scalars.py:1(<module>)
     5392    0.005    0.000    0.020    0.000 <__array_function__ internals>:2(dot)
      183    0.000    0.000    0.019    0.000 popen_fork.py:24(poll)
        1    0.000    0.000    0.019    0.019 pyparsing.py:1(<module>)
      176    0.019    0.000    0.019    0.000 {built-in method posix.waitpid}
    10792    0.018    0.000    0.019    0.000 _ufunc_config.py:131(geterr)
        7    0.000    0.000    0.019    0.003 process.py:142(join)
        7    0.000    0.000    0.019    0.003 popen_fork.py:36(wait)
       28    0.000    0.000    0.019    0.001 __init__.py:841(rc_params_from_file)
        1    0.000    0.000    0.018    0.018 table.py:1(<module>)
        1    0.000    0.000    0.018    0.018 textpath.py:1(<module>)
 1248/233    0.007    0.000    0.018    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.018    0.018 platform.py:1(<module>)
    32388    0.018    0.000    0.018    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.018    0.018 pyplot.py:206(switch_backend)
        7    0.000    0.000    0.018    0.003 __init__.py:108(import_module)
        7    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
        1    0.000    0.000    0.017    0.017 py3k.py:1(<module>)
    32058    0.017    0.000    0.017    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
     1264    0.001    0.000    0.016    0.000 __init__.py:627(__setitem__)
    32/27    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    32/27    0.005    0.000    0.016    0.001 {built-in method _imp.exec_dynamic}
     5428    0.005    0.000    0.015    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pyplot.py:267(backend_mod)
        1    0.000    0.000    0.014    0.014 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
       92    0.001    0.000    0.013    0.000 __init__.py:1342(_preprocess_data)
        1    0.000    0.000    0.013    0.013 Image.py:1(<module>)
    28429    0.010    0.000    0.013    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.012    0.012 spines.py:1(<module>)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:1099(set_data)
        1    0.000    0.000    0.012    0.012 _backend_tk.py:1(<module>)
     4000    0.006    0.000    0.012    0.000 artist.py:1448(aliased_name)
    16749    0.012    0.000    0.012    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap_external>:185(_write_atomic)
        1    0.000    0.000    0.011    0.011 _parser.py:1(<module>)
    51149    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
     2184    0.005    0.000    0.011    0.000 inspect.py:653(_findclass)
        1    0.000    0.000    0.011    0.011 pathlib.py:1(<module>)
        1    0.000    0.000    0.010    0.010 cm.py:1(<module>)
      284    0.010    0.000    0.010    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.010    0.002 pool.py:671(_help_stuff_finish)
      101    0.003    0.000    0.010    0.000 artist.py:139(<listcomp>)
        4    0.010    0.002    0.010    0.002 {method 'acquire' of '_multiprocessing.SemLock' objects}
       12    0.000    0.000    0.009    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
        2    0.000    0.000    0.009    0.004 shape_base.py:1(<module>)
      338    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       12    0.000    0.000    0.009    0.001 queues.py:339(__init__)
       24    0.000    0.000    0.009    0.000 context.py:65(Lock)
        1    0.000    0.000    0.009    0.009 artist.py:1(<module>)
    19645    0.007    0.000    0.008    0.000 inspect.py:277(isfunction)
        1    0.000    0.000    0.008    0.008 cm.py:39(_gen_cmap_registry)
       24    0.000    0.000    0.008    0.000 synchronize.py:161(__init__)
       24    0.007    0.000    0.008    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.008    0.008 mathtext.py:1(<module>)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
       17    0.000    0.000    0.008    0.000 rcsetup.py:710(validate_cycler)
    10793    0.008    0.000    0.008    0.000 {built-in method numpy.seterrobj}
    19133    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
    43462    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.008    0.008 pyparsing.py:6398(pyparsing_common)
     3084    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    38129    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.007    0.002 pool.py:345(_setup_queues)
        1    0.000    0.000    0.007    0.007 font_manager.py:1(<module>)
        1    0.000    0.000    0.007    0.007 linalg.py:1(<module>)
    10880    0.007    0.000    0.007    0.000 {built-in method builtins.abs}
    33108    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
       47    0.000    0.000    0.006    0.000 __init__.py:1298(_add_data_doc)
        1    0.006    0.006    0.006    0.006 {built-in method posix.replace}
      566    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     9648    0.004    0.000    0.006    0.000 inspect.py:632(_is_wrapper)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
       32    0.000    0.000    0.006    0.000 colors.py:927(from_list)
        5    0.000    0.000    0.006    0.001 _version.py:1(<module>)
