0.6731808185577393
         104806 function calls (102071 primitive calls) in 0.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      461    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
      336    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      969    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
  277/219    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       14    0.000    0.000    0.000    0.000 re.py:222(split)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      932    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      166    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      461    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        9    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      395    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
     1013    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1180    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
     1110    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      255    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1127    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 Hertzian_dipole.py:69(construct_Hertzian_Dipoles)
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1180    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 Hertzian_dipole.py:70(<listcomp>)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 Hertzian_dipole.py:6(__init__)
  529/435    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      375    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        4    0.000    0.000    0.000    0.000 textwrap.py:422(dedent)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       75    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
