         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.038    0.001 __init__.py:841(rc_params_from_file)
   113765    0.037    0.000    0.037    0.000 {built-in method builtins.getattr}
      232    0.001    0.000    0.037    0.000 sre_parse.py:944(parse)
   296478    0.036    0.000    0.036    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.036    0.036 _pickle.py:1(<module>)
     1264    0.002    0.000    0.035    0.000 __init__.py:627(__setitem__)
    32/27    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
  524/232    0.002    0.000    0.034    0.000 sre_parse.py:436(_parse_sub)
    32/27    0.009    0.000    0.034    0.001 {built-in method _imp.exec_dynamic}
    13036    0.007    0.000    0.034    0.000 {built-in method builtins.next}
  587/236    0.014    0.000    0.033    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.032    0.032 text.py:1(<module>)
      297    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    38406    0.031    0.000    0.031    0.000 fromnumeric.py:72(<dictcomp>)
        1    0.000    0.000    0.030    0.030 lines.py:1(<module>)
      216    0.016    0.000    0.029    0.000 artist.py:1358(<listcomp>)
       85    0.000    0.000    0.028    0.000 re.py:249(compile)
        1    0.000    0.000    0.028    0.028 fontconfig_pattern.py:1(<module>)
     8751    0.016    0.000    0.028    0.000 inspect.py:612(unwrap)
      435    0.027    0.000    0.027    0.000 {built-in method builtins.dir}
    37946    0.027    0.000    0.027    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.026    0.026 pathlib.py:1(<module>)
     6434    0.006    0.000    0.026    0.000 contextlib.py:130(__enter__)
        1    0.000    0.000    0.026    0.026 multiarray.py:1(<module>)
    12810    0.025    0.000    0.026    0.000 _ufunc_config.py:132(geterr)
     2184    0.008    0.000    0.026    0.000 inspect.py:663(_finddoc)
        1    0.000    0.000    0.025    0.025 overrides.py:1(<module>)
        1    0.000    0.000    0.025    0.025 index_tricks.py:1(<module>)
    23922    0.016    0.000    0.025    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.025    0.025 textpath.py:1(<module>)
     9093    0.025    0.000    0.025    0.000 {method 'search' of 're.Pattern' objects}
       17    0.000    0.000    0.025    0.001 rcsetup.py:710(validate_cycler)
     8613    0.016    0.000    0.025    0.000 inspect.py:66(get_annotations)
    19764    0.024    0.000    0.024    0.000 {built-in method numpy.asanyarray}
    12802    0.009    0.000    0.024    0.000 _ufunc_config.py:452(_no_nep50_warning)
   124482    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.024    0.024 colors.py:1(<module>)
        1    0.000    0.000    0.023    0.023 table.py:1(<module>)
     6434    0.009    0.000    0.022    0.000 contextlib.py:139(__exit__)
        9    0.000    0.000    0.022    0.002 __init__.py:108(import_module)
        9    0.000    0.000    0.022    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
      183    0.001    0.000    0.022    0.000 popen_fork.py:24(poll)
40406/40402    0.020    0.000    0.022    0.000 {method 'join' of 'str' objects}
      594    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
