x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.5880921991158354,0.8085722257919962,-3.1010369046364334,0.9996005821093776,0.0,-0.028260860683881183,-0.0001628146283461294,0.9999834045251251,-0.005758833713211661,0.028260391681477766,0.005761134813526473,0.9995839932630325
-1.5905148118256331,0.8677359607436094,-3.101328072208718,0.9995783032509815,0.0,-0.029038176077168628,-0.00018648998078309536,0.9999793772383552,-0.00641952642166948,0.029037577229784787,0.0064222346571458306,0.9995576891858883
-1.5919343877064795,0.9269246159038993,-3.1016861822388253,0.9995649655511333,0.0,-0.02949372209066571,-0.00020867811108621516,0.9999749694688154,-0.00707226196401921,0.02949298384713517,0.007075339980648234,0.999539945909092
-1.5922857079489081,0.9861381117234651,-3.102114096560137,0.9995616293803623,0.0,-0.029606571406956647,-0.00022857683298580818,0.9999701966787019,-0.007717091873874064,0.029605689032796468,0.0077204763038552825,0.9995318391239646
-1.591503468856041,1.0453763699583394,-3.1026136519927583,0.999569026563795,0.0,-0.029355768331065544,-0.0002453457869610789,0.999965074076808,-0.008354066794589401,0.02935474305375558,0.008357668727799685,0.9995341156927483
-1.589522259972256,1.1046393192354973,-3.103185430058824,0.9995874864755429,0.0,-0.028720321751443137,-0.0002581078126483884,0.9999596166379686,-0.008983232914928568,0.02871916192829219,0.008986940149283633,0.9995471197721945
-1.5862765480935113,1.163926901490682,-3.1038285124388127,0.9996168575448221,0.0,-0.02767919999231885,-0.00026595031181286615,0.999953839131788,-0.009604627844418099,0.02767792229641579,0.009608309195593408,0.9995707143627985
-1.581700670119257,1.223239079303064,-3.104540221964486,0.9996564241067483,0.0,-0.0262113285071351,-0.0002679266398303229,0.9999477561616458,-0.010218275911608555,0.02620995912672552,0.010221787871507137,0.9996041982181174
-1.5757288381601302,1.2825758441483555,-3.105315849005748,0.9997048185505761,0.0,-0.024295591508743417,-0.00026305757514799555,0.9999413822149292,-0.010824182870256157,0.024294167354982195,0.010827378911656764,0.9996462180683883
-1.5682951607983,1.3419372255881408,-3.1061483632225024,0.99975992875472,0.0,-0.02191083878717003,-0.00025033292896560374,0.9999347317254117,-0.011422330001084237,0.021909408704527608,0.011425072832546563,0.9996946761491676
-1.5593336849063475,1.4013233014078919,-3.1070281108321707,0.999818800855603,0.0,-0.019035899129383492,-0.000228713371388099,0.9999278191486174,-0.0120126676006555,0.019034525101977496,0.012014844680231618,0.9997466330833288
-1.5487784629616512,1.4607342087088337,-3.107942497804554,0.9998775374812406,0.0,-0.01564960192626194,-0.0001971325654909731,0.9999206590509503,-0.012595107854449741,0.01564836027199286,0.01259665047199447,0.999798206248483
-1.3446073144534778,-1.4129422371838627,-3.118275435634015,0.9995432295140303,0.0,0.03022138866205046,-0.000844039251606732,0.9996099222561116,0.027915782720037252,-0.030209599970943992,-0.02792853965266683,0.9991533299461424
-1.3375616890294277,-1.3561679539678528,-3.11650815018105,0.9994723440957639,0.0,0.03248127749517881,-0.0008607828417716609,0.9996487896751404,0.02648690910481071,-0.03246986973515787,-0.02650089245718327,0.9991213190891058
-1.3318483591546126,-1.2993058048101893,-3.114848957938435,0.999411116933476,0.0,0.03431354469859262,-0.0008613191456092366,0.9996849093878963,0.0250866512600437,-0.03430273282279009,-0.025101433068923477,0.9990962118728979
-1.3274081411237568,-1.2423557539652879,-3.1133017344345313,0.9993612208456819,0.0,0.03573723925862254,-0.0008480508685498665,0.9997183997964197,0.02371501461542673,-0.035727175644771916,-0.023730172955238896,0.9990798005224417
-1.3241819577506742,-1.1853178358204404,-3.1118684048086838,0.9993237046271372,0.0,0.036771366173889264,-0.0008232042915509287,0.9997493774466836,0.022371960791649353,-0.03676215044020983,-0.022387101084524626,0.9990732515686938
-1.3221108526987766,-1.1281921355244886,-3.1105491796535003,0.9992990691212488,0.0,0.03743488284215055,-0.000788834969142077,0.999777956749736,0.02105741999187946,-0.03742657067909103,-0.021072190140631945,0.9990771815079554
-1.3211359923959163,-1.0709787724903705,-3.109342779078562,0.9992873394006664,0.0,0.03774669937275889,-0.0007468336142924576,0.9998042497784283,0.019771301539013124,-0.037739310447993064,-0.019785401815328896,0.9990917286825649
-1.3211986584706747,-1.0136778865286304,-3.1082466450267043,0.9992881330860374,0.0,0.0377256818814716,-0.0006989320606678381,0.9998283661264457,0.018513502718204455,-0.0377192068765578,-0.01852669125673532,0.9991166213929588
-1.322240233291271,-0.956289626377106,-3.1072571419549875,0.99930072485655,0.0,0.037390657939835,-0.0006467092216415744,0.9998504128179218,0.017283916078655995,-0.03738506477667774,-0.017296010749053653,0.9991512422770701
-1.324202180853125,-0.8988141404015553,-3.106369746037151,0.9993241072180018,0.0,0.03676042345979524,-0.0005915969895703882,0.9998704942573681,0.016082435341961614,-0.03675566277385561,-0.01609331269585118,0.9991946890073666
-1.3270260249470787,-0.8412515692523261,-3.1055792230608765,0.9993570475973907,0.0,0.035853750395550825,-0.0005348860388046318,0.9998887122109862,0.014908960056998462,-0.035849760310941454,-0.014918551975834776,0.9992458313611283
-1.3306533262470617,-0.7836020402728088,-3.104879795188601,0.9993981418296887,0.0,0.034689394739110854,-0.0004777315121202936,0.9999051658116804,0.013763399133862965,-0.03468610499851747,-0.013771687736646243,0.9993033647181001
-1.335025659682884,-0.7258656634660104,-3.1042652967311826,0.9994458640945062,0.0,0.03328610437383523,-0.00042115858316074293,0.9999199515812082,0.012645673381916623,-0.03328343987381237,-0.012652684688803583,0.9993658600334174
