construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      262    0.001    0.000    0.056    0.000 sre_parse.py:944(parse)
    23500    0.032    0.000    0.055    0.000 inspect.py:2630(__init__)
  617/262    0.002    0.000    0.052    0.000 sre_parse.py:436(_parse_sub)
     5185    0.004    0.000    0.052    0.000 re.py:197(search)
  726/269    0.016    0.000    0.051    0.000 sre_parse.py:494(_parse)
        4    0.000    0.000    0.045    0.011 context.py:1(<module>)
        1    0.000    0.000    0.044    0.044 axis.py:1(<module>)
        1    0.000    0.000    0.043    0.043 polar.py:1(<module>)
      4/3    0.000    0.000    0.043    0.014 utils.py:687(__init__)
        1    0.000    0.000    0.043    0.043 callconv.py:1(<module>)
        1    0.000    0.000    0.042    0.042 base.py:1(<module>)
    42/41    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
      522    0.039    0.000    0.039    0.000 {built-in method io.open_code}
    42/41    0.036    0.001    0.039    0.001 {built-in method _imp.create_dynamic}
     8266    0.004    0.000    0.039    0.000 {built-in method builtins.next}
513897/512339    0.037    0.000    0.037    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.037    0.037 image.py:1(<module>)
        1    0.000    0.000    0.036    0.036 special.py:1(<module>)
        1    0.000    0.000    0.036    0.036 multiarray.py:1(<module>)
     3763    0.003    0.000    0.036    0.000 <__array_function__ internals>:177(norm)
     8874    0.024    0.000    0.036    0.000 inspect.py:2913(__init__)
        1    0.000    0.000    0.036    0.036 lines.py:1(<module>)
        1    0.000    0.000    0.036    0.036 overrides.py:1(<module>)
        1    0.000    0.000    0.036    0.036 colors.py:1(<module>)
   199775    0.035    0.000    0.035    0.000 {built-in method builtins.min}
     7502    0.011    0.000    0.035    0.000 {method 'all' of 'numpy.generic' objects}
   113547    0.033    0.000    0.034    0.000 {built-in method builtins.getattr}
     3785    0.003    0.000    0.033    0.000 contextlib.py:130(__enter__)
     7510    0.013    0.000    0.032    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.032    0.032 axis3d.py:1(<module>)
      262    0.001    0.000    0.032    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.031    0.031 fontconfig_pattern.py:1(<module>)
     7502    0.004    0.000    0.031    0.000 _ufunc_config.py:452(_no_nep50_warning)
        1    0.000    0.000    0.031    0.031 _axes.py:46(Axes)
        1    0.000    0.000    0.030    0.030 text.py:1(<module>)
