         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      274    0.001    0.000    0.027    0.000 popen_fork.py:24(poll)
   296478    0.027    0.000    0.027    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.027    0.013 core.py:193(read_style_directory)
      270    0.027    0.000    0.027    0.000 {built-in method posix.waitpid}
       10    0.000    0.000    0.026    0.003 process.py:142(join)
     5405    0.004    0.000    0.026    0.000 _ufunc_config.py:430(__enter__)
   110772    0.026    0.000    0.026    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.026    0.026 text.py:1(<module>)
       10    0.000    0.000    0.026    0.003 popen_fork.py:36(wait)
       28    0.000    0.000    0.026    0.001 __init__.py:841(rc_params_from_file)
     1264    0.001    0.000    0.026    0.000 __init__.py:627(__setitem__)
        1    0.000    0.000    0.025    0.025 defmatrix.py:1(<module>)
        1    0.000    0.000    0.024    0.024 linalg.py:1(<module>)
        1    0.000    0.000    0.023    0.023 fontconfig_pattern.py:1(<module>)
     5405    0.004    0.000    0.023    0.000 _ufunc_config.py:435(__exit__)
      216    0.011    0.000    0.021    0.000 artist.py:1358(<listcomp>)
        1    0.000    0.000    0.021    0.021 textpath.py:1(<module>)
      296    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.020    0.020 numerictypes.py:1(<module>)
        1    0.000    0.000    0.020    0.020 colors.py:1(<module>)
     8751    0.011    0.000    0.020    0.000 inspect.py:612(unwrap)
    37946    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
      435    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
    23922    0.011    0.000    0.019    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.018    0.018 pyparsing.py:1(<module>)
     2184    0.006    0.000    0.018    0.000 inspect.py:663(_finddoc)
       17    0.000    0.000    0.018    0.001 rcsetup.py:710(validate_cycler)
     9093    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
     8613    0.012    0.000    0.018    0.000 inspect.py:66(get_annotations)
   124474    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
      232    0.000    0.000    0.018    0.000 sre_compile.py:622(_code)
        9    0.000    0.000    0.017    0.002 __init__.py:108(import_module)
  233/169    0.000    0.000    0.017    0.000 typing.py:306(inner)
        9    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.017    0.017 _type_aliases.py:1(<module>)
    11096    0.004    0.000    0.017    0.000 {built-in method builtins.next}
40426/40422    0.014    0.000    0.016    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.016    0.016 _pickle.py:1(<module>)
    32406    0.016    0.000    0.016    0.000 fromnumeric.py:72(<dictcomp>)
    32/27    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    32/27    0.004    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.015    0.015 table.py:1(<module>)
        1    0.000    0.000    0.015    0.015 py3k.py:1(<module>)
    10810    0.014    0.000    0.015    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.015    0.015 utils.py:1(<module>)
        1    0.000    0.000    0.015    0.015 pyplot.py:206(switch_backend)
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
    32058    0.014    0.000    0.014    0.000 {method 'expandtabs' of 'str' objects}
       33    0.013    0.000    0.013    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.013    0.013 __init__.py:2275(class_factory)
 1247/232    0.006    0.000    0.013    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.012    0.012 platform.py:1(<module>)
       17    0.000    0.000    0.012    0.001 ast.py:33(parse)
       19    0.012    0.001    0.012    0.001 {built-in method builtins.compile}
     5434    0.005    0.000    0.012    0.000 contextlib.py:139(__exit__)
        1    0.000    0.000    0.012    0.012 pyplot.py:267(backend_mod)
        1    0.000    0.000    0.012    0.012 backend_tkagg.py:1(<module>)
     5434    0.003    0.000    0.011    0.000 contextlib.py:130(__enter__)
    28429    0.008    0.000    0.011    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.011    0.011 category.py:1(<module>)
    16796    0.011    0.000    0.011    0.000 {built-in method numpy.asanyarray}
       92    0.001    0.000    0.010    0.000 __init__.py:1342(_preprocess_data)
    10802    0.005    0.000    0.010    0.000 _ufunc_config.py:452(_no_nep50_warning)
        1    0.000    0.000    0.010    0.010 font_manager.py:1(<module>)
        1    0.000    0.000    0.010    0.010 cm.py:1(<module>)
     4000    0.005    0.000    0.010    0.000 artist.py:1448(aliased_name)
       18    0.000    0.000    0.010    0.001 threading.py:916(start)
        1    0.000    0.000    0.010    0.010 _backend_tk.py:1(<module>)
        6    0.000    0.000    0.010    0.002 pool.py:671(_help_stuff_finish)
      179    0.001    0.000    0.009    0.000 typing.py:1016(__init__)
