here 1
 here 3
here 2
         36639787 function calls (35992064 primitive calls) in 29.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.001    0.000    0.147    0.001 axis.py:291(draw)
        1    0.000    0.000    0.146    0.146 patches.py:1(<module>)
       84    0.001    0.000    0.145    0.002 _backend_tk.py:273(motion_notify_event)
      523    0.143    0.000    0.143    0.000 {built-in method io.open_code}
     4060    0.012    0.000    0.143    0.000 artist.py:1375(get_valid_values)
     8096    0.025    0.000    0.142    0.000 transforms.py:2351(__init__)
     3804    0.010    0.000    0.141    0.000 patches.py:842(get_bbox)
      392    0.007    0.000    0.140    0.000 text.py:671(draw)
       84    0.001    0.000    0.140    0.002 backend_bases.py:1903(motion_notify_event)
     3692    0.016    0.000    0.138    0.000 _base.py:765(_unstale_viewLim)
      756    0.001    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      818    0.002    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3804    0.010    0.000    0.135    0.000 transforms.py:2032(rotate_deg_around)
    60184    0.047    0.000    0.133    0.000 pyplot.py:812(_auto_draw_if_interactive)
        1    0.000    0.000    0.133    0.133 axes3d.py:1(<module>)
    11028    0.025    0.000    0.130    0.000 ticker.py:2133(view_limits)
    29526    0.035    0.000    0.127    0.000 inspect.py:3007(replace)
     9248    0.006    0.000    0.127    0.000 <__array_function__ internals>:177(average)
    38405    0.103    0.000    0.124    0.000 inspect.py:2913(__init__)
     7357    0.019    0.000    0.123    0.000 collections.py:748(_set_facecolor)
   162088    0.067    0.000    0.123    0.000 _base.py:2940(<genexpr>)
     3692    0.024    0.000    0.120    0.000 _base.py:768(<dictcomp>)
    38337    0.058    0.000    0.116    0.000 inspect.py:612(unwrap)
        8    0.000    0.000    0.116    0.014 backend_tkagg.py:12(blit)
        8    0.000    0.000    0.116    0.014 _backend_tk.py:72(blit)
        8    0.000    0.000    0.115    0.014 _backend_tk.py:60(_blit)
     4143    0.012    0.000    0.115    0.000 transforms.py:822(from_extents)
        8    0.115    0.014    0.115    0.014 {built-in method matplotlib.backends._tkagg.blit}
   112787    0.044    0.000    0.114    0.000 shape_base.py:608(_column_stack_dispatcher)
     9248    0.016    0.000    0.113    0.000 function_base.py:396(average)
        2    0.000    0.000    0.113    0.057 builtins.py:1(<module>)
1073503/1071884    0.112    0.000    0.112    0.000 {built-in method builtins.len}
